Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
Oh My God (feat. Lily Allen),Mark Ronson,0.76,0.809,4,-5.361,0,0.31,0.106,0.000123,0.327,0.56,88.468,6
Makes Me Wonder,Maroon 5,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,5
I'm Over You,Martine McCutcheon,0.545,0.807,0,-4.534,1,0.0458,0.0894,1.79e-06,0.415,0.435,142.016,7
2 Hearts,Kylie Minogue,0.667,0.621,7,-5.229,0,0.035,9.31e-05,4.33e-05,0.0572,0.492,111.996,1
The Day You Went Away,M2M,0.511,0.734,11,-6.789,0,0.0297,0.0495,9.93e-06,0.299,0.801,188.216,3
Big City Life,Mattafix,0.69,0.618,2,-9.36,1,0.0904,0.0175,3.26e-06,0.0891,0.733,174.038,5
Hollywood,Madonna,0.647,0.588,11,-7.519,0,0.0401,0.0554,0.000225,0.277,0.604,125.992,1
I Turn To You,Melanie C,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,3
Get Your Number,Mariah Carey,0.798,0.676,6,-6.799,0,0.203,0.208,0.0,0.243,0.697,100.008,1
All This Time,Michelle McManus,0.528,0.639,6,-4.879,1,0.0313,0.614,5.03e-06,0.111,0.308,128.231,0
Big Girl (You Are Beautiful),MIKA,0.797,0.75,11,-6.324,1,0.0773,0.0384,0.0,0.232,0.808,116.005,5
7 Things,Miley Cyrus,0.591,0.904,1,-4.478,0,0.0359,0.0244,0.0,0.0786,0.542,107.027,1
Ayo Technology,Milow,0.775,0.657,11,-7.645,0,0.0338,0.641,0.0,0.0999,0.776,128.06,1
Real Girl,Mutya Buena,0.615,0.922,9,-3.312,1,0.122,0.0534,0.0,0.258,0.879,85.463,7
Pretty Boy,M2M,0.579,0.611,1,-6.188,1,0.0223,0.0257,0.0,0.145,0.199,87.09,0
"Roc Ya Body ""Mic Check 1, 2""",M.V.P.,0.852,0.726,1,-7.316,1,0.129,0.0944,0.0,0.223,0.765,103.044,5
Jump,Madonna,0.629,0.839,9,-7.061,1,0.0899,0.0018,0.0859,0.251,0.449,118.979,7
Never Be The Same Again,Melanie C,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,3
Goin' Crazy,Natalie,0.6,0.556,1,-7.294,1,0.026,0.624,0.00735,0.0837,0.233,105.957,0
Shiver,Natalie Imbruglia,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81e-06,0.149,0.309,94.163,0
Happy Ending,MIKA,0.564,0.437,1,-8.375,1,0.0285,0.552,0.0,0.217,0.307,96.018,2
Love Like This (feat. Sean Kingston),Natasha Bedingfield,0.775,0.729,7,-5.373,0,0.0491,0.15,0.0,0.165,0.923,77.002,1
Try,Nelly Furtado,0.623,0.588,7,-7.457,1,0.0304,0.0588,0.000346,0.437,0.317,93.922,7
Sophia - remastered,Nerina Pallot,0.529,0.284,2,-7.534,1,0.0294,0.901,0.0,0.0966,0.413,86.948,2
This I Swear,Nick Lachey,0.488,0.443,7,-6.967,1,0.0276,0.0457,0.0,0.103,0.192,146.952,3
Hey Baby,No Doubt,0.705,0.872,11,-3.557,0,0.125,0.0602,0.0,0.228,0.746,93.63,1
Give It 2 Me,Madonna,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,1
First Day Of My Life,Melanie C,0.406,0.526,1,-5.945,1,0.0278,0.0336,0.0,0.106,0.197,75.496,0
Liquid Dreams,O-Town,0.823,0.7,0,-5.042,0,0.035,0.0264,0.0,0.0531,0.75,108.019,1
Wrong Impression,Natalie Imbruglia,0.477,0.739,6,-5.606,1,0.0279,0.00944,0.0,0.179,0.265,100.137,0
Vanilla Twilight,Owl City,0.582,0.529,11,-7.637,1,0.0248,0.00961,0.000554,0.113,0.567,166.134,3
Soulmate,Natasha Bedingfield,0.486,0.589,3,-5.805,0,0.0385,0.462,0.0,0.109,0.331,170.049,3
All Good Things (Come To An End),Nelly Furtado,0.661,0.649,9,-7.668,0,0.0342,0.245,1.22e-05,0.11,0.388,100.893,1
Upside Down,Paloma Faith,0.617,0.844,9,-4.384,0,0.0764,0.0452,0.000189,0.0737,0.734,175.98,1
Stars Are Blind,Paris Hilton,0.745,0.695,2,-5.076,1,0.0271,0.00593,0.0,0.0615,0.519,102.014,5
"Mama Do (Uh Oh, Uh Oh)",Pixie Lott,0.451,0.873,3,-4.711,0,0.19,0.171,0.0,0.327,0.589,119.918,1
Miles Away,Madonna,0.782,0.71,0,-4.394,1,0.0382,0.0447,0.0,0.095,0.762,115.995,5
I Don't Believe You,P!nk,0.261,0.274,8,-9.04,1,0.0291,0.786,0.0,0.108,0.249,91.285,2
We Fit Together,O-Town,0.657,0.668,0,-7.289,1,0.045,0.0935,0.0,0.115,0.709,84.995,5
Samson,Regina Spektor,0.49,0.193,11,-9.544,1,0.0421,0.862,9.74e-06,0.113,0.184,89.154,2
Can't Touch It,Ricki-Lee,0.584,0.863,4,-3.707,0,0.194,0.000331,0.206,0.207,0.695,103.946,1
Single,Natasha Bedingfield,0.621,0.644,2,-5.624,1,0.115,0.0466,0.0,0.549,0.526,168.015,7
She Bangs - English Version,Ricky Martin,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,7
Break It Off,Rihanna,0.897,0.738,10,-5.314,0,0.228,0.0166,0.0,0.0573,0.798,133.966,1
Nothing in This World,Paris Hilton,0.724,0.772,11,-4.015,0,0.0328,0.00824,0.00454,0.0654,0.932,130.007,1
Cry Me Out,Pixie Lott,0.668,0.727,9,-4.719,1,0.0271,0.0746,3.6e-06,0.329,0.555,89.995,7
Sexed Up,Robbie Williams,0.541,0.447,0,-5.869,1,0.0244,0.121,0.0,0.137,0.237,76.965,0
Funhouse,P!nk,0.786,0.86,11,-2.985,0,0.036,0.0058,1.32e-06,0.0414,0.809,103.94,1
Hang With Me,Robyn,0.654,0.818,7,-6.152,1,0.035,0.00973,0.00122,0.107,0.245,114.97,0
Father And Son - New Steve Mac,Ronan Keating,0.607,0.421,9,-8.319,1,0.0308,0.464,0.0,0.218,0.302,71.959,0
Milk and Toast and Honey,Roxette,0.61,0.649,1,-6.688,1,0.0352,0.0717,2.69e-06,0.0549,0.708,141.643,5
Wild Horses,Natasha Bedingfield,0.42,0.229,0,-9.801,1,0.0324,0.867,0.0,0.0797,0.31,133.618,2
Gotta Tell You,Samantha Mumba,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,1
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,0.7,0.465,4,-6.815,1,0.358,0.544,0.0,0.606,0.719,108.102,6
I Can't Decide,Scissor Sisters,0.69,0.807,3,-4.912,1,0.0326,0.239,0.0,0.205,0.869,96.991,5
Boys And Girls,Pixie Lott,0.714,0.8,1,-4.178,1,0.0538,0.0202,7.35e-06,0.171,0.766,129.989,5
Rudebox - Radio Edit,Robbie Williams,0.935,0.686,8,-6.998,1,0.305,0.0171,2.84e-06,0.353,0.666,109.99,6
Dear Mr. President (feat. Indigo Girls),P!nk,0.587,0.395,10,-7.283,1,0.0324,0.721,0.0,0.119,0.328,131.711,2
Handle Me,Robyn,0.654,0.724,1,-5.306,0,0.357,0.218,0.0,0.0803,0.872,126.563,6
This I Promise You,Ronan Keating,0.391,0.461,10,-8.789,1,0.0288,0.274,9.41e-06,0.161,0.417,166.089,3
Say Goodbye,S Club,0.531,0.474,7,-7.585,1,0.0296,0.0696,4.2e-06,0.0877,0.13,129.988,0
Natural - Single Version,S Club 7,0.722,0.658,9,-7.003,0,0.0316,0.178,4.95e-05,0.295,0.735,97.418,1
Always Come Back To Your Love,Samantha Mumba,0.744,0.797,8,-5.333,1,0.0328,0.0105,0.000624,0.0638,0.899,105.231,5
Don't Bother,Shakira,0.617,0.741,7,-4.094,1,0.0438,0.00632,0.00324,0.166,0.222,129.976,3
I'm Gonna Getcha Good! - Red Version,Shania Twain,0.738,0.772,1,-4.495,1,0.0303,0.0376,0.0,0.096,0.932,123.991,5
Gravity,Pixie Lott,0.602,0.811,0,-5.405,1,0.102,0.252,0.0,0.783,0.631,77.997,7
Advertising Space,Robbie Williams,0.546,0.607,0,-7.001,1,0.0262,0.0979,0.0,0.0967,0.115,112.085,0
Family Portrait - Radio Edit,P!nk,0.647,0.697,0,-5.75,0,0.145,0.0192,0.0,0.228,0.821,183.698,1
No U Hang Up,Shayne Ward,0.668,0.537,6,-5.551,1,0.0316,0.111,0.0,0.0819,0.655,98.013,5
Iris,Ronan Keating,0.44,0.581,1,-7.052,1,0.0284,0.0231,0.000996,0.103,0.252,155.051,3
Never Felt Like This Before,Shaznay Lewis,0.574,0.892,7,-4.537,1,0.0294,0.101,2.6e-05,0.0577,0.622,152.159,5
You,S Club 7,0.632,0.693,0,-6.056,1,0.0548,0.185,0.0,0.41,0.656,150.035,7
Baby Come On Over,Samantha Mumba,0.7,0.753,2,-6.543,0,0.0773,0.0561,4.51e-05,0.115,0.942,95.03,1
She Wolf,Shakira,0.865,0.69,7,-7.448,1,0.0444,0.289,0.0138,0.225,0.868,121.983,5
I'm Gonna Getcha Good,Shania Twain,0.723,0.789,1,-4.813,1,0.0302,0.0441,0.0,0.0612,0.946,124.013,5
T-Shirt,Shontelle,0.679,0.657,6,-6.222,1,0.0423,0.0219,0.0,0.295,0.363,86.984,0
Bodies,Robbie Williams,0.656,0.731,6,-6.045,0,0.0616,0.00703,6.52e-06,0.0651,0.785,95.008,1
Feel Good Time (feat. William Orbit),P!nk,0.558,0.823,10,-4.588,1,0.132,0.0102,9.45e-05,0.209,0.564,138.376,3
Breathless,Shayne Ward,0.507,0.58,2,-5.621,1,0.04,0.469,0.0,0.0721,0.493,123.934,0
She Believes (In Me),Ronan Keating,0.408,0.494,0,-5.86,1,0.0306,0.224,0.0,0.141,0.305,73.886,0
Breathe Me,Sia,0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012,4
Lay Your Hands,Simon Webbe,0.57,0.661,5,-6.474,1,0.0306,0.0923,0.0,0.332,0.702,134.66,7
Sunrise,Simply Red,0.791,0.733,5,-5.123,0,0.029,0.00189,0.201,0.0859,0.917,105.987,1
Don't Dream It's Over,Sixpence None The Richer,0.549,0.651,5,-8.122,1,0.0265,0.0638,6.95e-05,0.0823,0.444,80.934,0
Sky,Sonique,0.607,0.758,9,-7.292,1,0.0341,0.0822,1.31e-06,0.153,0.733,143.142,5
Take Me Home (A Girl Like Me),Sophie Ellis-Bextor,0.625,0.859,9,-5.114,1,0.0302,0.00442,0.00141,0.084,0.914,122.808,5
I'm Yours,Jason Mraz,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Memories,Maroon 5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2
Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,2
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0
Shallow - Radio Edit,Lady Gaga,0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,0
This City,Sam Fischer,0.602,0.377,11,-6.213,1,0.0446,0.731,0.0,0.0808,0.518,73.877,2
I'm Not The Only One,Sam Smith,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,0
All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,2
All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,2
All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,2
All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,2
Take Me to Church,Hozier,0.575,0.664,4,-5.303,0,0.0481,0.637,0.0,0.116,0.437,129.07,1
Walk Me Home,P!nk,0.652,0.453,1,-6.119,1,0.0445,0.0519,0.0,0.179,0.432,88.038,0
Let Her Go,Passenger,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,0
Falling Like The Stars,James Arthur,0.296,0.351,6,-9.538,1,0.0351,0.823,1.5e-06,0.11,0.19,177.596,2
Apologize,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,5
No One,Alicia Keys,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,0
If the World Was Ending - feat. Julia Michaels,JP Saxe,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,2
Always Remember Us This Way,Lady Gaga,0.553,0.506,0,-5.967,1,0.0411,0.317,0.0,0.763,0.306,130.027,7
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,1
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,0
I'm Like A Bird - Recorded at Spotify Studios NYC,Alessia Cara,0.524,0.639,10,-7.18,1,0.103,0.238,0.0,0.0598,0.582,87.998,0
Crazy,Gnarls Barkley,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,5
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,0
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,0
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,0
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,0
Love Someone,Lukas Graham,0.55,0.415,9,-6.557,0,0.052,0.161,0.0,0.108,0.274,172.065,3
FourFiveSeconds,Rihanna,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,2
Almost (Sweet Music),Hozier,0.427,0.689,7,-5.589,1,0.135,0.021,1.69e-06,0.203,0.706,88.875,5
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,1
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,1
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,1
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,1
Dancing On My Own,Calum Scott,0.682,0.173,1,-8.749,1,0.0314,0.839,3.26e-05,0.0983,0.236,112.663,2
She Will Be Loved - Radio Mix,Maroon 5,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,1
Girls Like You,Maroon 5,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,0
Girls Like You,Maroon 5,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,0
Girls Like You,Maroon 5,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,0
Girls Like You,Maroon 5,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,0
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,5
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,5
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,5
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,5
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1
How to Save a Life,The Fray,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,5
Mercy,Shawn Mendes,0.568,0.686,11,-4.901,0,0.0903,0.133,0.0,0.11,0.4,148.294,3
Sign of the Times,Harry Styles,0.518,0.575,5,-4.616,1,0.0302,0.0259,0.0,0.109,0.209,120.019,0
Fix You,Coldplay,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,3
A Thousand Years,Christina Perri,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3
Out Of Love,Alessia Cara,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,2
7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,7
7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,7
7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,7
7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,7
Free Spirit,Khalid,0.627,0.446,2,-9.477,0,0.0332,0.308,0.00077,0.111,0.11,139.994,2
Outnumbered,Dermot Kennedy,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85,3
Light On,Maggie Rogers,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,0
Rainbow,Kacey Musgraves,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367,2
I Guess I Just Feel Like,John Mayer,0.556,0.528,4,-8.033,1,0.0266,0.615,0.0964,0.122,0.163,159.821,2
broken,lovelytheband,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,5
Delicate,Taylor Swift,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,0
Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,0
Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,0
Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,0
Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,0
The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,5
The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,5
The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,5
The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,5
Preach,John Legend,0.508,0.729,11,-5.712,0,0.0443,0.0681,0.0,0.1,0.412,91.906,1
Bad,James Bay,0.549,0.413,4,-5.587,1,0.0362,0.756,0.0,0.0939,0.29,139.981,2
Beyond,Leon Bridges,0.58,0.687,6,-5.4,1,0.106,0.229,0.0,0.109,0.187,76.014,0
Your Body Is a Wonderland,John Mayer,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,5
Someone Like You,Adele,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,2
Scars To Your Beautiful,Alessia Cara,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,0
Rude,MAGIC!,0.743,0.807,1,-3.78,1,0.0364,0.0435,0.0,0.309,0.899,144.062,7
Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,0
Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,0
Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,0
Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,0
Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,0
Too Good At Goodbyes,Sam Smith,0.515,0.378,5,-8.264,1,0.065,0.618,0.0,0.172,0.536,91.883,2
The Scientist,Coldplay,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,2
Tequila,Dan + Shay,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,0
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944,7
Just The Way You Are,Bruno Mars,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,5
You Say,Lauren Daigle,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,2
Be Alright,Dean Lewis,0.542,0.577,11,-6.356,1,0.0348,0.674,0.0,0.131,0.479,126.349,2
Take A Bow,Rihanna,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.082,0
Love Yourself,Justin Bieber,0.795,0.378,4,-9.979,1,0.316,0.859,0.0,0.204,0.576,100.227,6
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Waiting On the World to Change,John Mayer,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,3
Head Above Water,Avril Lavigne,0.578,0.694,5,-5.351,1,0.0706,0.0112,0.0,0.102,0.268,129.921,3
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Love Song,Sara Bareilles,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,1
Home,Phillip Phillips,0.592,0.792,0,-5.884,1,0.0335,0.0215,0.0,0.159,0.293,121.001,0
Come On Get Higher,Matt Nathanson,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,5
