Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
"Nothing's Gonna Stop Us Now (From ""Mannequin"")",Starship,0.67,0.703,6,-6.828,1,0.0214,0.00193,0.0,0.0895,0.575,96.014,5
Eye of the Tiger,Survivor,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,1
Stuck In The Middle With You,Stealers Wheel,0.745,0.616,7,-8.851,1,0.0351,0.0536,0.000507,0.139,0.961,124.437,5
"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,0.8,0.586,5,-8.396,0,0.066,0.092,0.00115,0.109,0.686,107.543,1
Flashdance...What a Feeling (Re-Recorded),Irene Cara,0.66,0.711,10,-4.95,1,0.0325,0.364,1.01e-06,0.0797,0.749,121.982,5
STARSTRUKK (feat. Katy Perry),3OH!3,0.607,0.805,11,-5.579,0,0.0608,0.00175,0.0,0.231,0.232,139.894,3
Give Me Just One Night (Una Noche),98º,0.543,0.79,0,-6.145,1,0.0491,0.0513,3.55e-06,0.0981,0.655,123.631,5
Caught in the Middle,A1,0.519,0.874,5,-5.122,1,0.034,0.0524,0.0,0.243,0.572,96.072,5
I Want Candy,Aaron Carter,0.787,0.904,8,-4.483,1,0.0674,0.00836,0.00104,0.0803,0.954,110.029,5
Ain't No Other Man,Christina Aguilera,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,6
Make You Feel My Love,Adele,0.559,0.172,10,-10.636,1,0.0291,0.907,0.000383,0.105,0.0955,77.025,2
Release Me,Agnes,0.621,0.923,2,-3.124,0,0.0321,0.00645,7.28e-05,0.108,0.716,127.973,1
Let's Get Excited,Alesha Dixon,0.699,0.908,9,-3.602,0,0.0498,0.00115,3.43e-06,0.124,0.691,155.958,1
All Night Long (feat. Pitbull) - Single Version,Alexandra Burke,0.652,0.908,8,-4.5,1,0.11,0.236,0.0,0.0769,0.648,119.95,5
Black Coffee,All Saints,0.673,0.7,9,-7.484,1,0.0287,0.0183,0.00174,0.0756,0.503,120.01,5
Misfit,Amy Studt,0.627,0.736,4,-6.315,1,0.0422,0.0386,0.000136,0.343,0.704,87.991,7
Love Is A Losing Game,Amy Winehouse,0.484,0.293,0,-16.544,1,0.0311,0.337,0.00627,0.146,0.562,165.008,2
Fantasy,Appleton,0.502,0.752,9,-5.189,1,0.118,0.172,0.0,0.207,0.529,165.979,3
Take On Me,A1,0.562,0.931,9,-4.809,1,0.0469,0.0859,1.95e-06,0.269,0.537,165.081,3
